name,year_start,year_end,position,height,weight,birth_date,college
Cory Blackwell,1985,1985.0,F,6-6,210.0,1963-03-27,University of Wisconsin
James Blackwell,1995,1995.0,G,6-0,190.0,1968-02-25,Dartmouth College
Nate Blackwell,1988,1988.0,G,6-4,170.0,1965-02-15,Temple University
DeJuan Blair,2010,2016.0,F-C,6-7,270.0,1989-04-22,University of Pittsburgh
Steve Blake,2004,2016.0,G,6-3,172.0,1980-02-26,University of Maryland
Antonio Blakeney,2018,2018.0,G,6-4,197.0,1996-10-04,Louisiana State University
Will Blalock,2007,2007.0,G,6-0,205.0,1983-09-08,Iowa State University
George Blaney,1962,1962.0,G,6-1,175.0,1939-11-12,College of the Holy Cross
Lance Blanks,1991,1993.0,G,6-4,190.0,1966-09-09,University of Texas at Austin
Ricky Blanton,1993,1993.0,F,6-7,215.0,1966-04-21,Louisiana State University
Andray Blatche,2006,2014.0,F,6-11,235.0,1986-08-22,
Mookie Blaylock,1990,2002.0,G,6-0,180.0,1967-03-20,University of Oklahoma
Eric Bledsoe,2011,2018.0,G,6-1,205.0,1989-12-09,University of Kentucky
Leon Blevins,1951,1951.0,G,6-2,160.0,1926-06-25,University of Arizona
John Block,1967,1976.0,F-C,6-9,207.0,1944-04-16,University of Southern California
Mike Bloom,1948,1949.0,F-C,6-6,190.0,1915-01-14,Temple University
Corie Blount,1994,2004.0,F,6-9,240.0,1969-01-04,University of Cincinnati
Mark Blount,2001,2009.0,C,7-0,230.0,1975-11-30,University of Pittsburgh
Vander Blue,2014,2018.0,G,6-4,200.0,1992-07-17,Marquette University
Ray Blume,1982,1982.0,G,6-4,185.0,1958-09-23,Oregon State University
Nelson Bobb,1950,1953.0,G,6-0,170.0,1924-02-25,Temple University
Tony Bobbitt,2005,2005.0,G,6-4,190.0,1979-10-22,University of Cincinnati
Bucky Bockhorn,1959,1965.0,G,6-4,200.0,1933-07-08,University of Dayton
Tom Boerwinkle,1969,1978.0,C,7-0,265.0,1945-08-23,University of Tennessee
Keith Bogans,2004,2014.0,G-F,6-5,215.0,1980-05-12,University of Kentucky
Muggsy Bogues,1988,2001.0,G,5-3,136.0,1965-01-09,Wake Forest University
Andrew Bogut,2006,2018.0,C,7-0,260.0,1984-11-28,University of Utah
Etdrick Bohannon,1998,2001.0,F,6-9,220.0,1973-05-29,Auburn University at Montgomery
Manute Bol,1986,1995.0,C,7-7,200.0,1962-10-16,University of Bridgeport
Bill Bolger,1954,1954.0,F,6-5,205.0,1931-08-21,Georgetown University
Joel Bolomboy,2017,2018.0,F,6-9,235.0,1994-01-28,Weber State University
Doug Bolstorff,1958,1958.0,G,6-4,195.0,1931-10-29,University of Minnesota
George Bon Salle,1962,1962.0,F,6-8,220.0,1935-07-01,University of Illinois at Urbana-Champaign
Phil Bond,1978,1978.0,G,6-2,175.0,1954-07-27,University of Louisville
Walter Bond,1993,1995.0,G,6-5,200.0,1969-02-01,University of Minnesota
Dexter Boney,1997,1997.0,G,6-4,185.0,1970-04-27,"University of Nevada, Las Vegas"
Ron Bonham,1965,1968.0,F,6-5,192.0,1942-05-31,University of Cincinnati
Anthony Bonner,1991,1996.0,F,6-8,215.0,1968-06-08,Saint Louis University
Matt Bonner,2005,2016.0,F,6-10,235.0,1980-04-05,University of Florida
Butch Booker,1970,1970.0,C,6-10,230.0,1945-07-20,Cheyney University of Pennsylvania
Devin Booker,2016,2018.0,G,6-6,206.0,1996-10-30,University of Kentucky
Melvin Booker,1996,1997.0,G,6-1,185.0,1972-08-20,University of Missouri
Trevor Booker,2011,2018.0,F,6-8,228.0,1987-11-25,Clemson University
Josh Boone,2007,2010.0,F-C,6-10,237.0,1984-11-21,University of Connecticut
Ron Boone,1969,1981.0,G-F,6-2,200.0,1946-09-06,Idaho State University
Calvin Booth,2000,2009.0,C,6-11,230.0,1976-05-07,Pennsylvania State University
Keith Booth,1998,1999.0,F,6-6,226.0,1974-10-09,University of Maryland
Bob Boozer,1961,1971.0,F,6-8,215.0,1937-04-26,Kansas State University
Carlos Boozer,2003,2015.0,F-C,6-9,258.0,1981-11-20,Duke University
Curtis Borchardt,2004,2005.0,C,7-0,240.0,1980-09-13,Stanford University
Jake Bornheimer,1949,1950.0,F-C,6-5,200.0,1927-06-29,Muhlenberg College
Lazaro Borrell,2000,2000.0,F,6-8,220.0,1972-09-20,
Ike Borsavage,1951,1951.0,C-F,6-8,220.0,1924-07-25,Temple University
Vince Boryla,1950,1954.0,F,6-5,210.0,1927-03-11,University of Denver
Chris Bosh,2004,2016.0,F-C,6-11,235.0,1984-03-24,Georgia Institute of Technology
Jim Bostic,1978,1978.0,F,6-7,225.0,1953-01-28,New Mexico State University
Lawrence Boston,1980,1980.0,F,6-8,225.0,1956-05-18,University of Maryland
Tom Boswell,1976,1984.0,F-C,6-9,220.0,1953-10-02,University of South Carolina
Ruben Boumtje-Boumtje,2002,2004.0,C,7-0,257.0,1978-05-20,Georgetown University
Don Boven,1950,1953.0,F-G,6-4,210.0,1925-03-06,Western Michigan University
Cal Bowdler,2000,2002.0,F,6-10,245.0,1977-03-31,Old Dominion University
Bruce Bowen,1997,2009.0,F,6-7,185.0,1971-06-14,"California State University, Fullerton"
Ryan Bowen,2000,2010.0,F,6-7,215.0,1975-11-20,University of Iowa
Tommie Bowens,1968,1970.0,F-C,6-8,220.0,1940-07-07,Grambling State University
Anthony Bowie,1989,1998.0,G-F,6-6,190.0,1963-11-09,University of Oklahoma
Sam Bowie,1985,1995.0,C-F,7-1,235.0,1961-03-17,University of Kentucky
Orbie Bowling,1968,1968.0,C,6-10,215.0,1939-03-21,University of Tennessee
Ira Bowman,2000,2002.0,G,6-5,195.0,1973-06-11,University of Pennsylvania
Nate Bowman,1967,1972.0,C,6-10,230.0,1943-03-19,Wichita State University
Donnie Boyce,1996,1997.0,G,6-5,196.0,1973-09-02,University of Colorado
Dennis Boyd,1979,1979.0,G,6-1,175.0,1954-05-21,University of Detroit Mercy
Freddie Boyd,1973,1978.0,G,6-2,180.0,1950-06-13,Oregon State University
Ken Boyd,1975,1975.0,F,6-5,195.0,1952-03-25,Boston University
Earl Boykins,1999,2012.0,G,5-5,135.0,1976-06-02,Eastern Michigan University
Harry Boykoff,1950,1951.0,C,6-10,225.0,1922-07-24,St. John's University
Winford Boynes,1979,1981.0,G-F,6-6,185.0,1957-05-17,University of San Francisco
Cedric Bozeman,2007,2007.0,G,6-6,207.0,1983-03-07,"University of California, Los Angeles"
Steve Bracey,1973,1975.0,G,6-1,175.0,1950-08-01,University of Tulsa
Craig Brackins,2011,2012.0,F,6-10,230.0,1987-10-09,Iowa State University
Gary Bradds,1965,1971.0,F,6-8,210.0,1942-07-26,Ohio State University
Alex Bradley,1982,1982.0,F,6-6,215.0,1959-10-30,Villanova University
Alonzo Bradley,1978,1980.0,F,6-6,190.0,1953-10-16,Texas Southern University
Avery Bradley,2011,2018.0,G,6-2,180.0,1990-11-26,University of Texas at Austin
Bill Bradley,1968,1968.0,G,5-11,165.0,1941-06-16,
Charles Bradley,1982,1984.0,G,6-5,215.0,1959-05-16,University of Wyoming
Dudley Bradley,1980,1989.0,G-F,6-6,195.0,1957-03-19,University of North Carolina
Jim Bradley,1974,1976.0,F,6-8,215.0,1952-03-16,Northern Illinois University
Joe Bradley,1950,1950.0,G,6-3,175.0,1928-09-24,Oklahoma State University
Michael Bradley,2002,2006.0,F-C,6-10,245.0,1979-04-18,Villanova University
Shawn Bradley,1994,2005.0,C,7-6,235.0,1972-03-22,Brigham Young University
Tony Bradley,2018,2018.0,F-C,6-11,240.0,1998-01-08,University of North Carolina
Mark Bradtke,1997,1997.0,C-F,6-10,265.0,1968-09-27,
Marques Bragg,1996,1996.0,F,6-8,230.0,1970-03-24,Providence College
Torraye Braggs,2004,2005.0,F,6-8,245.0,1976-05-15,Xavier University
A.J. Bramlett,2000,2000.0,C,6-10,227.0,1977-01-10,University of Arizona
Adrian Branch,1987,1990.0,F-G,6-7,185.0,1963-11-17,University of Maryland
Elton Brand,2000,2016.0,F,6-8,275.0,1979-03-11,Duke University
Terrell Brandon,1992,2002.0,G,5-11,180.0,1970-05-20,University of Oregon
Bob Brannum,1950,1955.0,F-C,6-5,215.0,1925-05-28,Michigan State University
Brad Branson,1982,1983.0,C-F,6-10,220.0,1958-09-24,Southern Methodist University
Jesse Branson,1966,1968.0,F,6-7,195.0,1942-01-07,Elon University
Jim Brasco,1953,1953.0,G,6-1,170.0,1931-02-03,New York University
Mike Bratz,1978,1986.0,G,6-2,185.0,1955-10-17,Stanford University
Carl Braun,1948,1962.0,G-F,6-5,180.0,1927-09-25,Colgate University
Tim Breaux,1995,1998.0,F,6-7,215.0,1970-09-19,University of Wyoming
J.R. Bremer,2003,2004.0,G,6-2,185.0,1980-09-19,St. Bonaventure University
Pete Brennan,1959,1959.0,F,6-6,205.0,1936-09-23,University of North Carolina
Tom Brennan,1955,1955.0,F,6-3,195.0,1930-08-06,Villanova University
Randy Breuer,1984,1994.0,C,7-3,230.0,1960-10-11,University of Minnesota
Corey Brewer,2008,2018.0,F-G,6-9,186.0,1986-03-05,University of Florida
Jamison Brewer,2002,2005.0,G,6-4,184.0,1980-11-19,Auburn University
Jim Brewer,1974,1982.0,F-C,6-9,210.0,1951-12-03,University of Minnesota
Ron Brewer,1979,1986.0,G,6-4,180.0,1955-09-16,University of Arkansas
Ronnie Brewer,2007,2014.0,G-F,6-7,220.0,1985-03-20,University of Arkansas
Primoz Brezec,2002,2010.0,C,7-2,252.0,1979-10-02,
Frankie Brian,1950,1956.0,G,6-1,180.0,1923-05-01,Louisiana State University
Frank Brickowski,1985,1997.0,F-C,6-9,240.0,1959-08-14,Pennsylvania State University
Junior Bridgeman,1976,1987.0,F-G,6-5,210.0,1953-09-17,University of Louisville
Bill Bridges,1963,1975.0,F-C,6-6,228.0,1939-04-04,University of Kansas
Al Brightman,1947,1947.0,F,6-2,195.0,1923-09-22,University of Charleston
Aud Brindley,1947,1947.0,F,6-4,175.0,1923-12-31,Dartmouth College
John Brisker,1970,1975.0,F-G,6-5,210.0,1947-06-15,University of Toledo
Allan Bristow,1974,1983.0,F-G,6-7,210.0,1951-08-23,Virginia Polytechnic Institute and State University
Tyrone Britt,1968,1968.0,G,6-4,190.0,1944-04-18,Johnson C. Smith University
Wayman Britt,1978,1978.0,G,6-2,185.0,1952-08-31,University of Michigan
Mike Brittain,1986,1987.0,C,7-0,235.0,1963-06-21,University of South Carolina
Dave Britton,1981,1981.0,G,6-4,180.0,1958-08-29,Texas A&M University
Jon Brockman,2010,2012.0,F,6-7,255.0,1987-03-20,University of Washington
Jim Brogan,1982,1983.0,G,6-4,185.0,1958-02-24,West Virginia Wesleyan College
Malcolm Brogdon,2017,2018.0,G,6-5,215.0,1992-12-11,University of Virginia
Gary Brokaw,1975,1978.0,G,6-4,178.0,1954-01-11,University of Notre Dame
Price Brookfield,1949,1950.0,F-G,6-4,185.0,1920-05-11,West Texas A&M University
Clarence Brookins,1971,1971.0,F,6-4,190.0,,Temple University
Aaron Brooks,2008,2018.0,G,6-0,161.0,1985-01-14,University of Oregon
Dillon Brooks,2018,2018.0,G-F,6-6,220.0,1996-01-22,University of Oregon
Kevin Brooks,1992,1994.0,F,6-6,200.0,1969-10-12,University of Louisiana at Lafayette
MarShon Brooks,2012,2014.0,G-F,6-5,200.0,1989-01-26,Providence College
Michael Brooks,1981,1988.0,F,6-7,220.0,1958-08-17,La Salle University
Scott Brooks,1989,1998.0,G,5-11,165.0,1965-07-31,"University of California, Irvine"
Andre Brown,2007,2009.0,F,6-9,245.0,1981-05-12,DePaul University
Anthony Brown,2016,2017.0,F-G,6-7,210.0,1992-10-10,Stanford University
Bob Brown,1949,1950.0,F,6-4,205.0,1923-11-12,Miami University
Bobby Brown,2009,2018.0,G,6-2,175.0,1984-09-24,"California State University, Fullerton"
Chucky Brown,1990,2002.0,F,6-7,214.0,1968-02-29,North Carolina State University
Damone Brown,2002,2005.0,F,6-9,200.0,1979-06-28,Syracuse University
Darrell Brown,1949,1949.0,F,6-2,175.0,1923-03-14,Humboldt State University
Dee Brown,1991,2002.0,G,6-1,160.0,1968-11-29,Jacksonville University
Derrick Brown,2010,2012.0,F,6-7,225.0,1987-09-08,Xavier University
Devin Brown,2003,2010.0,G,6-5,220.0,1978-12-30,University of Texas at San Antonio
Ernest Brown,2002,2002.0,C,7-0,244.0,1979-05-17,Indian Hills Community College
Fred Brown,1972,1984.0,G,6-3,182.0,1948-08-07,University of Iowa
George Brown,1958,1958.0,F,6-6,190.0,1935-10-30,Wayne State University
Gerald Brown,1999,1999.0,G,6-4,210.0,1975-07-28,Pepperdine University
Harold Brown,1947,1947.0,G,6-0,155.0,1923-10-02,University of Evansville
Jabari Brown,2015,2015.0,G,6-4,215.0,1992-12-18,University of Missouri
Jaylen Brown,2017,2018.0,F-G,6-7,225.0,1996-10-24,University of California
John Brown,1974,1980.0,F,6-7,220.0,1951-12-14,University of Missouri
Kedrick Brown,2002,2005.0,G,6-7,222.0,1981-03-18,Okaloosa-Walton Community College
Kwame Brown,2002,2013.0,F,6-11,270.0,1982-03-10,
Larry Brown,1968,1972.0,G,5-9,160.0,1940-09-14,University of North Carolina
Leon Brown,1947,1947.0,F,6-3,190.0,1919-10-12,University of Wyoming
Lewis Brown,1981,1981.0,C,6-11,225.0,1955-02-19,"University of Nevada, Las Vegas"
Lorenzo Brown,2014,2018.0,G,6-5,189.0,1990-08-26,North Carolina State University
Marcus Brown,1997,2000.0,G,6-3,185.0,1974-04-03,Murray State University
Markel Brown,2015,2016.0,G,6-3,190.0,1992-01-29,Oklahoma State University
Mike Brown,1987,1997.0,C-F,6-9,257.0,1963-07-19,George Washington University
Myron Brown,1992,1992.0,G,6-3,180.0,1969-11-03,Slippery Rock University of Pennsylvania
P.J. Brown,1994,2008.0,F-C,6-11,225.0,1969-10-14,Louisiana Tech University
Randy Brown,1992,2003.0,G,6-2,190.0,1968-05-22,New Mexico State University
Raymond Brown,1990,1990.0,F,6-8,220.0,1965-07-05,University of Idaho
Rickey Brown,1981,1985.0,C-F,6-10,215.0,1958-08-20,Mississippi State University
Roger Brown,1968,1975.0,F-G,6-5,205.0,1942-05-22,University of Dayton
Shannon Brown,2007,2015.0,G,6-4,205.0,1985-11-29,Michigan State University
Stan Brown,1948,1952.0,F,6-3,200.0,1929-06-27,
Sterling Brown,2018,2018.0,G,6-5,225.0,1995-02-10,Southern Methodist University
Tierre Brown,2002,2005.0,G,6-2,189.0,1979-06-03,McNeese State University
Tony Brown,1985,1992.0,F-G,6-6,185.0,1960-07-29,University of Arkansas
Jim Browne,1949,1950.0,C,6-10,235.0,1930-01-01,
Stanley Brundy,1990,1990.0,F,6-6,210.0,1967-11-13,DePaul University
Brian Brunkhorst,1969,1969.0,F,6-6,208.0,1945-06-12,Marquette University
George Bruns,1973,1973.0,G,6-0,160.0,1946-08-30,Manhattan College
Rick Brunson,1998,2006.0,G,6-4,190.0,1972-06-14,Temple University
Nicolas Brussino,2017,2018.0,G-F,6-7,195.0,1993-03-02,
Em Bryant,1965,1972.0,G,6-1,175.0,1938-11-04,DePaul University
Joe Bryant,1976,1983.0,F-C,6-9,185.0,1954-10-19,La Salle University
Kobe Bryant,1997,2016.0,G-F,6-6,212.0,1978-08-23,
Mark Bryant,1989,2003.0,F-C,6-9,245.0,1965-04-25,Seton Hall University
Thomas Bryant,2018,2018.0,C,6-10,248.0,1997-07-31,Indiana University
Wallace Bryant,1984,1986.0,C,7-0,245.0,1959-07-14,University of San Francisco
Torgeir Bryn,1990,1990.0,C,6-9,250.0,1964-08-08,Texas State University
George Bucci,1976,1976.0,G,6-3,200.0,1953-07-09,Manhattan College
Joe Buckhalter,1962,1963.0,F,6-7,210.0,1937-08-01,Tennessee State University
Steve Bucknall,1990,1990.0,G,6-6,215.0,1966-03-17,University of North Carolina
Cleveland Buckner,1962,1963.0,F-C,6-9,210.0,1938-08-17,Jackson State University
Greg Buckner,2000,2009.0,G,6-4,210.0,1976-09-16,Clemson University
Quinn Buckner,1977,1986.0,G,6-3,190.0,1954-08-20,Indiana University
Dave Budd,1961,1965.0,F,6-6,205.0,1938-10-28,Wake Forest University
Chase Budinger,2010,2016.0,F,6-7,209.0,1988-05-22,University of Arizona
Walt Budko,1949,1952.0,F-C,6-5,220.0,1925-07-30,Columbia University
Jud Buechler,1991,2002.0,F-G,6-6,220.0,1968-06-19,University of Arizona
Rodney Buford,2000,2005.0,G-F,6-5,189.0,1977-11-02,Creighton University
Matt Bullard,1991,2002.0,F,6-10,215.0,1967-06-05,University of Iowa
Reggie Bullock,2014,2018.0,G-F,6-7,205.0,1991-03-16,University of North Carolina
Larry Bunce,1968,1969.0,C,7-0,240.0,1945-07-29,Utah State University
Greg Bunch,1979,1979.0,F,6-6,190.0,1956-05-15,"California State University, Fullerton"
Dick Bunt,1953,1953.0,G,6-0,170.0,1930-07-13,New York University
Bill Buntin,1966,1966.0,C-F,6-7,250.0,1942-05-05,University of Michigan
Bill Bunting,1970,1972.0,F-C,6-8,200.0,1947-08-26,University of North Carolina
Ticky Burden,1976,1978.0,G,6-2,185.0,1953-02-28,University of Utah
Pat Burke,2003,2007.0,C-F,6-11,250.0,1973-12-14,Auburn University
Trey Burke,2014,2017.0,G,6-1,191.0,1992-11-12,University of Michigan
Roger Burkman,1982,1982.0,G,6-5,175.0,1958-05-22,University of Louisville
Alec Burks,2012,2018.0,G,6-6,214.0,1991-07-20,University of Colorado
Antonio Burks,2005,2006.0,G,6-1,200.0,1980-02-25,University of Memphis
Kevin Burleson,2006,2006.0,G,6-3,205.0,1979-04-09,University of Minnesota
Tom Burleson,1975,1981.0,C,7-2,225.0,1952-02-24,North Carolina State University
Jack Burmaster,1950,1950.0,G,6-3,190.0,1926-12-23,University of Illinois at Urbana-Champaign
David Burns,1982,1982.0,G,6-2,180.0,1958-07-03,Saint Louis University
Evers Burns,1994,1994.0,F,6-8,260.0,1971-08-24,University of Maryland
Jim Burns,1968,1968.0,G,6-3,195.0,1945-09-21,Northwestern University
Scott Burrell,1994,2001.0,G-F,6-7,218.0,1971-01-12,University of Connecticut
Art Burris,1951,1952.0,F,6-5,220.0,1924-04-07,University of Tennessee
Junior Burrough,1996,1996.0,F,6-8,242.0,1973-01-18,University of Virginia
Bob Burrow,1957,1958.0,C-F,6-7,228.0,1934-06-29,University of Kentucky
Ed Burton,1962,1965.0,F,6-6,225.0,1939-08-13,Michigan State University
Willie Burton,1991,1999.0,F-G,6-8,210.0,1968-05-26,University of Minnesota
Steve Burtt,1985,1993.0,G,6-2,185.0,1962-11-05,Iona College
Don Buse,1973,1985.0,G,6-4,190.0,1950-08-10,University of Evansville
David Bustion,1973,1973.0,F,6-8,215.0,1949-08-30,University of Denver
Donnie Butcher,1962,1966.0,G,6-2,200.0,1936-02-08,Pikeville College
Al Butler,1962,1965.0,G,6-2,175.0,1938-07-09,Niagara University
Caron Butler,2003,2016.0,F,6-7,228.0,1980-03-13,University of Connecticut
Greg Butler,1989,1991.0,C,6-11,240.0,1966-03-11,Stanford University
Jackie Butler,2005,2007.0,F-C,6-10,250.0,1985-03-10,
Jimmy Butler,2012,2018.0,F-G,6-8,236.0,1989-09-14,Marquette University
Mike Butler,1969,1972.0,G,6-2,170.0,1946-10-22,University of Memphis
Mitchell Butler,1994,2004.0,G-F,6-5,210.0,1970-12-15,"University of California, Los Angeles"
Rasual Butler,2003,2016.0,F-G,6-7,215.0,1979-05-23,La Salle University
Dwight Buycks,2014,2015.0,G,6-3,190.0,1989-03-06,Marquette University
Derrick Byars,2012,2012.0,F,6-7,220.0,1984-04-25,Vanderbilt University
Andrew Bynum,2006,2014.0,C,7-0,285.0,1987-10-27,
Will Bynum,2006,2015.0,G,6-0,185.0,1983-01-04,Georgia Institute of Technology
Walter Byrd,1970,1970.0,F,6-7,205.0,,Temple University
Marty Byrnes,1979,1983.0,F,6-7,215.0,1956-04-30,Syracuse University
Tommy Byrnes,1947,1951.0,F-G,6-3,175.0,1923-02-19,Seton Hall University
Michael Bytzura,1947,1947.0,F,6-1,170.0,1922-06-18,Long Island University
Zarko Cabarkapa,2004,2006.0,F,6-11,235.0,1981-05-21,
Barney Cable,1959,1964.0,F,6-7,175.0,1935-07-29,Bradley University
Bruno Caboclo,2015,2018.0,F,6-9,218.0,1995-09-21,
Jason Caffey,1996,2003.0,F,6-8,255.0,1973-06-12,University of Alabama
Michael Cage,1985,2000.0,F-C,6-9,224.0,1962-01-28,San Diego State University
Gerry Calabrese,1951,1952.0,G,6-1,175.0,1925-02-04,St. John's University
Nick Calathes,2014,2015.0,G,6-6,213.0,1989-02-07,University of Florida
Jose Calderon,2006,2018.0,G,6-3,200.0,1981-09-28,
Adrian Caldwell,1990,1998.0,F-C,6-8,265.0,1966-07-04,Lamar University
Jim Caldwell,1968,1969.0,C,6-10,240.0,1943-01-28,Georgia Institute of Technology
Joe Caldwell,1965,1975.0,F-G,6-5,195.0,1941-11-01,Arizona State University
Kentavious Caldwell-Pope,2014,2018.0,G,6-5,205.0,1993-02-18,University of Georgia
Bill Calhoun,1949,1955.0,F-G,6-3,180.0,1927-11-04,City College of San Francisco
Corky Calhoun,1973,1980.0,F,6-7,210.0,1950-11-01,University of Pennsylvania
Demetrius Calip,1992,1992.0,G,6-1,165.0,1969-11-18,University of Michigan
Tom Callahan,1947,1947.0,G,6-1,180.0,1921-06-02,Rockhurst University
Rick Calloway,1991,1991.0,F,6-6,180.0,1966-12-12,University of Kansas
Ernie Calverley,1947,1949.0,G,5-10,145.0,1924-01-30,University of Rhode Island
Mack Calvin,1970,1981.0,G,6-0,165.0,1947-07-27,University of Southern California
Dexter Cambridge,1993,1993.0,F,6-7,224.0,1970-01-29,University of Texas at Austin
Marcus Camby,1997,2013.0,C-F,6-11,220.0,1974-03-22,University of Massachusetts Amherst
Elden Campbell,1991,2005.0,C,6-11,215.0,1968-07-23,Clemson University
Tony Campbell,1985,1995.0,F-G,6-7,215.0,1962-05-07,Ohio State University
Isaiah Canaan,2014,2018.0,G,6-0,201.0,1991-05-21,Murray State University
Larry Cannon,1970,1974.0,G,6-4,195.0,1947-04-12,La Salle University
Clint Capela,2015,2018.0,C,6-10,240.0,1994-05-18,
Derrick Caracter,2011,2011.0,F,6-9,275.0,1988-05-04,University of Texas at El Paso
Frank Card,1969,1973.0,F,6-7,195.0,1944-12-28,South Carolina State University
Brian Cardinal,2001,2012.0,F,6-8,245.0,1977-05-02,Purdue University
Howie Carl,1962,1962.0,G,5-9,160.0,1938-06-07,DePaul University
Chet Carlisle,1947,1947.0,F-C,6-5,195.0,1916-11-02,University of California
Geno Carlisle,2005,2005.0,G,6-3,180.0,1976-08-13,University of California
Rick Carlisle,1985,1990.0,G,6-5,210.0,1959-10-27,University of Virginia
Don Carlos,1969,1969.0,G-F,6-5,210.0,1944-03-03,Otterbein College
Al Carlson,1976,1976.0,C,6-11,235.0,1951-09-17,University of Oregon
Don Carlson,1947,1951.0,G-F,6-0,170.0,1919-03-22,University of Minnesota
Bob Carney,1955,1955.0,G,6-3,170.0,1932-08-03,Bradley University
Rodney Carney,2007,2011.0,F,6-7,205.0,1984-04-15,University of Memphis
Bob Carpenter,1950,1951.0,F-C,6-5,200.0,1917-11-06,East Texas State University
